habitat,eventID,organismQuantity,occurrenceID,basisOfRecord
Sisymbrium polymorphum,Askaniia_Nova_127,r,Askaniia_Nova_127_013,HumanObservation
Tragopogon major,Askaniia_Nova_127,r,Askaniia_Nova_127_014,HumanObservation
Trifolium arvense,Askaniia_Nova_127,r,Askaniia_Nova_127_015,HumanObservation
Vicia villosa,Askaniia_Nova_127,3,Askaniia_Nova_127_016,HumanObservation
Amaranthus species,Askaniia_Nova_128,r,Askaniia_Nova_128_001,HumanObservation
Atriplex oblongifolia,Askaniia_Nova_128,r,Askaniia_Nova_128_002,HumanObservation
Elytrigia repens,Askaniia_Nova_128,r,Askaniia_Nova_128_003,HumanObservation
Euphorbia seguierana,Askaniia_Nova_128,r,Askaniia_Nova_128_004,HumanObservation
Galium ruthenicum,Askaniia_Nova_128,r,Askaniia_Nova_128_005,HumanObservation
Limonium sareptanum,Askaniia_Nova_128,r,Askaniia_Nova_128_006,HumanObservation
Poa angustifolia,Askaniia_Nova_128,2,Askaniia_Nova_128_007,HumanObservation
Salsola tragus,Askaniia_Nova_128,r,Askaniia_Nova_128_008,HumanObservation
Sisymbrium altissimum,Askaniia_Nova_128,r,Askaniia_Nova_128_009,HumanObservation
Tragopogon major,Askaniia_Nova_128,r,Askaniia_Nova_128_010,HumanObservation
Veronica barrelieri,Askaniia_Nova_128,r,Askaniia_Nova_128_011,HumanObservation
Vicia villosa,Askaniia_Nova_128,3,Askaniia_Nova_128_012,HumanObservation
Agropyron pectinatum,Askaniia_Nova_129,r,Askaniia_Nova_129_001,HumanObservation
Allium guttatum,Askaniia_Nova_129,r,Askaniia_Nova_129_002,HumanObservation
Allium paczoskianum,Askaniia_Nova_129,r,Askaniia_Nova_129_003,HumanObservation
Arabidopsis thaliana,Askaniia_Nova_129,1,Askaniia_Nova_129_004,HumanObservation
Artemisia austriaca,Askaniia_Nova_129,r,Askaniia_Nova_129_005,HumanObservation
Buglossoides arvensis,Askaniia_Nova_129,r,Askaniia_Nova_129_006,HumanObservation
Carduus uncinatus,Askaniia_Nova_129,r,Askaniia_Nova_129_007,HumanObservation
Carex praecox,Askaniia_Nova_129,2,Askaniia_Nova_129_008,HumanObservation
Crepis ramosissima,Askaniia_Nova_129,r,Askaniia_Nova_129_009,HumanObservation
Dianthus pallens,Askaniia_Nova_129,r,Askaniia_Nova_129_010,HumanObservation
Eryngium campestre,Askaniia_Nova_129,r,Askaniia_Nova_129_011,HumanObservation
Euphorbia leptocaula,Askaniia_Nova_129,r,Askaniia_Nova_129_012,HumanObservation
Festuca valesiaca,Askaniia_Nova_129,r,Askaniia_Nova_129_013,HumanObservation
Galatella villosa,Askaniia_Nova_129,1,Askaniia_Nova_129_014,HumanObservation
Galium ruthenicum,Askaniia_Nova_129,r,Askaniia_Nova_129_015,HumanObservation
Goniolimon tataricum,Askaniia_Nova_129,r,Askaniia_Nova_129_016,HumanObservation
Holosteum umbellatum,Askaniia_Nova_129,r,Askaniia_Nova_129_017,HumanObservation
Hylotelephium stepposum,Askaniia_Nova_129,r,Askaniia_Nova_129_018,HumanObservation
Koeleria cristata,Askaniia_Nova_129,r,Askaniia_Nova_129_019,HumanObservation
Leymus ramosus,Askaniia_Nova_129,+,Askaniia_Nova_129_020,HumanObservation
Limonium sareptanum,Askaniia_Nova_129,r,Askaniia_Nova_129_021,HumanObservation
Linaria biebersteinii,Askaniia_Nova_129,r,Askaniia_Nova_129_022,HumanObservation
Linum austriacum,Askaniia_Nova_129,r,Askaniia_Nova_129_023,HumanObservation
Myosotis micrantha,Askaniia_Nova_129,r,Askaniia_Nova_129_024,HumanObservation
Phlomis pungens,Askaniia_Nova_129,r,Askaniia_Nova_129_025,HumanObservation
Poa bulbosa,Askaniia_Nova_129,r,Askaniia_Nova_129_026,HumanObservation
Seseli tortuosum,Askaniia_Nova_129,r,Askaniia_Nova_129_027,HumanObservation
Sisymbrium altissimum,Askaniia_Nova_129,2,Askaniia_Nova_129_028,HumanObservation
Sisymbrium polymorphum,Askaniia_Nova_129,r,Askaniia_Nova_129_029,HumanObservation
Stipa ucrainica,Askaniia_Nova_129,2,Askaniia_Nova_129_030,HumanObservation
Trifolium arvense,Askaniia_Nova_129,r,Askaniia_Nova_129_031,HumanObservation
Veronica arvensis,Askaniia_Nova_129,r,Askaniia_Nova_129_032,HumanObservation
Agropyron pectinatum,Askaniia_Nova_130,r,Askaniia_Nova_130_001,HumanObservation
Allium guttatum,Askaniia_Nova_130,r,Askaniia_Nova_130_002,HumanObservation
Allium paczoskianum,Askaniia_Nova_130,r,Askaniia_Nova_130_003,HumanObservation
Androsace elongata,Askaniia_Nova_130,r,Askaniia_Nova_130_004,HumanObservation
Arabidopsis thaliana,Askaniia_Nova_130,r,Askaniia_Nova_130_005,HumanObservation
Camelina microcarpa,Askaniia_Nova_130,r,Askaniia_Nova_130_006,HumanObservation
Carduus uncinatus,Askaniia_Nova_130,r,Askaniia_Nova_130_007,HumanObservation
Carex praecox,Askaniia_Nova_130,2,Askaniia_Nova_130_008,HumanObservation
Consolida paniculata,Askaniia_Nova_130,r,Askaniia_Nova_130_009,HumanObservation
Crepis ramosissima,Askaniia_Nova_130,r,Askaniia_Nova_130_010,HumanObservation
Falcaria vulgaris,Askaniia_Nova_130,r,Askaniia_Nova_130_011,HumanObservation
Galatella villosa,Askaniia_Nova_130,2,Askaniia_Nova_130_012,HumanObservation
Goniolimon tataricum,Askaniia_Nova_130,r,Askaniia_Nova_130_013,HumanObservation
Holosteum umbellatum,Askaniia_Nova_130,r,Askaniia_Nova_130_014,HumanObservation
Hylotelephium stepposum,Askaniia_Nova_130,r,Askaniia_Nova_130_015,HumanObservation
Koeleria cristata,Askaniia_Nova_130,r,Askaniia_Nova_130_016,HumanObservation
Leymus ramosus,Askaniia_Nova_130,2,Askaniia_Nova_130_017,HumanObservation
Limonium sareptanum,Askaniia_Nova_130,r,Askaniia_Nova_130_018,HumanObservation
Linaria biebersteinii,Askaniia_Nova_130,r,Askaniia_Nova_130_019,HumanObservation
Linum austriacum,Askaniia_Nova_130,r,Askaniia_Nova_130_020,HumanObservation
Myosotis micrantha,Askaniia_Nova_130,r,Askaniia_Nova_130_021,HumanObservation
Phlomis pungens,Askaniia_Nova_130,r,Askaniia_Nova_130_022,HumanObservation
Salsola tragus,Askaniia_Nova_130,r,Askaniia_Nova_130_023,HumanObservation
Sisymbrium altissimum,Askaniia_Nova_130,r,Askaniia_Nova_130_024,HumanObservation
Sisymbrium polymorphum,Askaniia_Nova_130,r,Askaniia_Nova_130_025,HumanObservation
Stipa capillata,Askaniia_Nova_130,r,Askaniia_Nova_130_026,HumanObservation
Stipa ucrainica,Askaniia_Nova_130,2,Askaniia_Nova_130_027,HumanObservation
Trifolium arvense,Askaniia_Nova_130,r,Askaniia_Nova_130_028,HumanObservation
Valerianella costata,Askaniia_Nova_130,r,Askaniia_Nova_130_029,HumanObservation
Veronica arvensis,Askaniia_Nova_130,r,Askaniia_Nova_130_030,HumanObservation
Allium paczoskianum,Askaniia_Nova_131,r,Askaniia_Nova_131_001,HumanObservation
Arabidopsis thaliana,Askaniia_Nova_131,r,Askaniia_Nova_131_002,HumanObservation
Artemisia austriaca,Askaniia_Nova_131,r,Askaniia_Nova_131_003,HumanObservation
Atriplex oblongifolia,Askaniia_Nova_131,r,Askaniia_Nova_131_004,HumanObservation
Bellevalia sarmatica,Askaniia_Nova_131,r,Askaniia_Nova_131_005,HumanObservation
Buglossoides arvensis,Askaniia_Nova_131,r,Askaniia_Nova_131_006,HumanObservation
Carduus uncinatus,Askaniia_Nova_131,r,Askaniia_Nova_131_007,HumanObservation
Carex praecox,Askaniia_Nova_131,r,Askaniia_Nova_131_008,HumanObservation
Crepis ramosissima,Askaniia_Nova_131,r,Askaniia_Nova_131_009,HumanObservation
Dianthus andrzejowskianus,Askaniia_Nova_131,r,Askaniia_Nova_131_010,HumanObservation
Dianthus pallens,Askaniia_Nova_131,r,Askaniia_Nova_131_011,HumanObservation
Eryngium campestre,Askaniia_Nova_131,r,Askaniia_Nova_131_012,HumanObservation
Falcaria vulgaris,Askaniia_Nova_131,r,Askaniia_Nova_131_013,HumanObservation
Festuca valesiaca,Askaniia_Nova_131,r,Askaniia_Nova_131_014,HumanObservation
Galatella villosa,Askaniia_Nova_131,2,Askaniia_Nova_131_015,HumanObservation
Galium ruthenicum,Askaniia_Nova_131,r,Askaniia_Nova_131_016,HumanObservation
Holosteum umbellatum,Askaniia_Nova_131,r,Askaniia_Nova_131_017,HumanObservation
Hylotelephium stepposum,Askaniia_Nova_131,r,Askaniia_Nova_131_018,HumanObservation
Koeleria cristata,Askaniia_Nova_131,r,Askaniia_Nova_131_019,HumanObservation
Leymus ramosus,Askaniia_Nova_131,r,Askaniia_Nova_131_020,HumanObservation
Limonium sareptanum,Askaniia_Nova_131,r,Askaniia_Nova_131_021,HumanObservation
Linaria biebersteinii,Askaniia_Nova_131,r,Askaniia_Nova_131_022,HumanObservation
Linum austriacum,Askaniia_Nova_131,r,Askaniia_Nova_131_023,HumanObservation
Myosotis micrantha,Askaniia_Nova_131,r,Askaniia_Nova_131_024,HumanObservation
Phlomis pungens,Askaniia_Nova_131,r,Askaniia_Nova_131_025,HumanObservation
Potentilla recta,Askaniia_Nova_131,r,Askaniia_Nova_131_026,HumanObservation
Salsola tragus,Askaniia_Nova_131,r,Askaniia_Nova_131_027,HumanObservation
Seseli tortuosum,Askaniia_Nova_131,r,Askaniia_Nova_131_028,HumanObservation
Sisymbrium altissimum,Askaniia_Nova_131,+,Askaniia_Nova_131_029,HumanObservation
Sisymbrium polymorphum,Askaniia_Nova_131,2,Askaniia_Nova_131_030,HumanObservation
Stipa ucrainica,Askaniia_Nova_131,2,Askaniia_Nova_131_031,HumanObservation
Tragopogon major,Askaniia_Nova_131,r,Askaniia_Nova_131_032,HumanObservation
Trifolium arvense,Askaniia_Nova_131,r,Askaniia_Nova_131_033,HumanObservation
Veronica arvensis,Askaniia_Nova_131,r,Askaniia_Nova_131_034,HumanObservation
Allium paczoskianum,Askaniia_Nova_132,r,Askaniia_Nova_132_001,HumanObservation
Arabidopsis thaliana,Askaniia_Nova_132,r,Askaniia_Nova_132_002,HumanObservation
Artemisia austriaca,Askaniia_Nova_132,r,Askaniia_Nova_132_003,HumanObservation
Atriplex oblongifolia,Askaniia_Nova_132,r,Askaniia_Nova_132_004,HumanObservation
Buglossoides arvensis,Askaniia_Nova_132,r,Askaniia_Nova_132_005,HumanObservation
Carduus uncinatus,Askaniia_Nova_132,r,Askaniia_Nova_132_006,HumanObservation
Consolida paniculata,Askaniia_Nova_132,r,Askaniia_Nova_132_007,HumanObservation
Crepis ramosissima,Askaniia_Nova_132,r,Askaniia_Nova_132_008,HumanObservation
Eryngium campestre,Askaniia_Nova_132,r,Askaniia_Nova_132_009,HumanObservation
Falcaria vulgaris,Askaniia_Nova_132,r,Askaniia_Nova_132_010,HumanObservation
Festuca valesiaca,Askaniia_Nova_132,r,Askaniia_Nova_132_011,HumanObservation
Galatella villosa,Askaniia_Nova_132,2,Askaniia_Nova_132_012,HumanObservation
Galium ruthenicum,Askaniia_Nova_132,r,Askaniia_Nova_132_013,HumanObservation
Goniolimon tataricum,Askaniia_Nova_132,r,Askaniia_Nova_132_014,HumanObservation
Holosteum umbellatum,Askaniia_Nova_132,r,Askaniia_Nova_132_015,HumanObservation
Hylotelephium stepposum,Askaniia_Nova_132,r,Askaniia_Nova_132_016,HumanObservation
Koeleria cristata,Askaniia_Nova_132,r,Askaniia_Nova_132_017,HumanObservation
Limonium sareptanum,Askaniia_Nova_132,r,Askaniia_Nova_132_018,HumanObservation
Linaria biebersteinii,Askaniia_Nova_132,r,Askaniia_Nova_132_019,HumanObservation
Linum austriacum,Askaniia_Nova_132,r,Askaniia_Nova_132_020,HumanObservation
Myosotis micrantha,Askaniia_Nova_132,r,Askaniia_Nova_132_021,HumanObservation
Phlomis pungens,Askaniia_Nova_132,r,Askaniia_Nova_132_022,HumanObservation
Salsola tragus,Askaniia_Nova_132,r,Askaniia_Nova_132_023,HumanObservation
Sisymbrium altissimum,Askaniia_Nova_132,2,Askaniia_Nova_132_024,HumanObservation
Sisymbrium polymorphum,Askaniia_Nova_132,+,Askaniia_Nova_132_025,HumanObservation
Stipa capillata,Askaniia_Nova_132,r,Askaniia_Nova_132_026,HumanObservation
Stipa ucrainica,Askaniia_Nova_132,+,Askaniia_Nova_132_027,HumanObservation
Trifolium arvense,Askaniia_Nova_132,r,Askaniia_Nova_132_028,HumanObservation
Tulipa gesneriana,Askaniia_Nova_132,r,Askaniia_Nova_132_029,HumanObservation
Veronica arvensis,Askaniia_Nova_132,r,Askaniia_Nova_132_030,HumanObservation
Agropyron pectinatum,Askaniia_Nova_133,r,Askaniia_Nova_133_001,HumanObservation
Arabidopsis thaliana,Askaniia_Nova_133,r,Askaniia_Nova_133_002,HumanObservation
Atriplex oblongifolia,Askaniia_Nova_133,r,Askaniia_Nova_133_003,HumanObservation
Carex praecox,Askaniia_Nova_133,r,Askaniia_Nova_133_004,HumanObservation
Consolida paniculata,Askaniia_Nova_133,r,Askaniia_Nova_133_005,HumanObservation
Crepis ramosissima,Askaniia_Nova_133,r,Askaniia_Nova_133_006,HumanObservation
Elytrigia repens,Askaniia_Nova_133,2,Askaniia_Nova_133_007,HumanObservation
Falcaria vulgaris,Askaniia_Nova_133,r,Askaniia_Nova_133_008,HumanObservation
Galatella villosa,Askaniia_Nova_133,r,Askaniia_Nova_133_009,HumanObservation
Galium ruthenicum,Askaniia_Nova_133,2,Askaniia_Nova_133_010,HumanObservation
Lactuca serriola,Askaniia_Nova_133,r,Askaniia_Nova_133_011,HumanObservation
Limonium sareptanum,Askaniia_Nova_133,r,Askaniia_Nova_133_012,HumanObservation
Linaria biebersteinii,Askaniia_Nova_133,r,Askaniia_Nova_133_013,HumanObservation
Phlomis pungens,Askaniia_Nova_133,r,Askaniia_Nova_133_014,HumanObservation
Poa angustifolia,Askaniia_Nova_133,2,Askaniia_Nova_133_015,HumanObservation
Salsola tragus,Askaniia_Nova_133,r,Askaniia_Nova_133_016,HumanObservation
Sisymbrium altissimum,Askaniia_Nova_133,2,Askaniia_Nova_133_017,HumanObservation
Sisymbrium polymorphum,Askaniia_Nova_133,+,Askaniia_Nova_133_018,HumanObservation
Trifolium arvense,Askaniia_Nova_133,r,Askaniia_Nova_133_019,HumanObservation
Vicia villosa,Askaniia_Nova_133,2,Askaniia_Nova_133_020,HumanObservation
Agropyron pectinatum,Askaniia_Nova_134,r,Askaniia_Nova_134_001,HumanObservation
Allium paczoskianum,Askaniia_Nova_134,r,Askaniia_Nova_134_002,HumanObservation
Arabidopsis thaliana,Askaniia_Nova_134,2,Askaniia_Nova_134_003,HumanObservation
Artemisia austriaca,Askaniia_Nova_134,r,Askaniia_Nova_134_004,HumanObservation
Buglossoides arvensis,Askaniia_Nova_134,r,Askaniia_Nova_134_005,HumanObservation
Carex praecox,Askaniia_Nova_134,r,Askaniia_Nova_134_006,HumanObservation
Consolida paniculata,Askaniia_Nova_134,r,Askaniia_Nova_134_007,HumanObservation
Crepis ramosissima,Askaniia_Nova_134,r,Askaniia_Nova_134_008,HumanObservation
Dianthus pallens,Askaniia_Nova_134,r,Askaniia_Nova_134_009,HumanObservation
Eryngium campestre,Askaniia_Nova_134,r,Askaniia_Nova_134_010,HumanObservation
Euphorbia seguierana,Askaniia_Nova_134,r,Askaniia_Nova_134_011,HumanObservation
Falcaria vulgaris,Askaniia_Nova_134,r,Askaniia_Nova_134_012,HumanObservation
Galatella villosa,Askaniia_Nova_134,r,Askaniia_Nova_134_013,HumanObservation
Galium ruthenicum,Askaniia_Nova_134,r,Askaniia_Nova_134_014,HumanObservation
Goniolimon tataricum,Askaniia_Nova_134,r,Askaniia_Nova_134_015,HumanObservation
Koeleria cristata,Askaniia_Nova_134,r,Askaniia_Nova_134_016,HumanObservation
Lactuca serriola,Askaniia_Nova_134,r,Askaniia_Nova_134_017,HumanObservation
Leymus ramosus,Askaniia_Nova_134,2,Askaniia_Nova_134_018,HumanObservation
Limonium sareptanum,Askaniia_Nova_134,r,Askaniia_Nova_134_019,HumanObservation
Linum austriacum,Askaniia_Nova_134,r,Askaniia_Nova_134_020,HumanObservation
Myosotis micrantha,Askaniia_Nova_134,r,Askaniia_Nova_134_021,HumanObservation
Phlomis pungens,Askaniia_Nova_134,r,Askaniia_Nova_134_022,HumanObservation
Poa angustifolia,Askaniia_Nova_134,2,Askaniia_Nova_134_023,HumanObservation
Potentilla recta,Askaniia_Nova_134,r,Askaniia_Nova_134_024,HumanObservation
Salsola tragus,Askaniia_Nova_134,r,Askaniia_Nova_134_025,HumanObservation
Sisymbrium altissimum,Askaniia_Nova_134,2,Askaniia_Nova_134_026,HumanObservation
Sisymbrium polymorphum,Askaniia_Nova_134,r,Askaniia_Nova_134_027,HumanObservation
Stipa ucrainica,Askaniia_Nova_134,r,Askaniia_Nova_134_028,HumanObservation
Trifolium arvense,Askaniia_Nova_134,r,Askaniia_Nova_134_029,HumanObservation
Valerianella costata,Askaniia_Nova_134,r,Askaniia_Nova_134_030,HumanObservation
Allium guttatum,Askaniia_Nova_135,r,Askaniia_Nova_135_001,HumanObservation
Allium paczoskianum,Askaniia_Nova_135,r,Askaniia_Nova_135_002,HumanObservation
Arabidopsis thaliana,Askaniia_Nova_135,r,Askaniia_Nova_135_003,HumanObservation
Artemisia austriaca,Askaniia_Nova_135,r,Askaniia_Nova_135_004,HumanObservation
Atriplex oblongifolia,Askaniia_Nova_135,r,Askaniia_Nova_135_005,HumanObservation
Carduus uncinatus,Askaniia_Nova_135,r,Askaniia_Nova_135_006,HumanObservation
Carex praecox,Askaniia_Nova_135,r,Askaniia_Nova_135_007,HumanObservation
Crepis ramosissima,Askaniia_Nova_135,r,Askaniia_Nova_135_008,HumanObservation
Dianthus pallens,Askaniia_Nova_135,r,Askaniia_Nova_135_009,HumanObservation
Eryngium campestre,Askaniia_Nova_135,r,Askaniia_Nova_135_010,HumanObservation
Euphorbia seguierana,Askaniia_Nova_135,r,Askaniia_Nova_135_011,HumanObservation
Falcaria vulgaris,Askaniia_Nova_135,r,Askaniia_Nova_135_012,HumanObservation
Festuca valesiaca,Askaniia_Nova_135,r,Askaniia_Nova_135_013,HumanObservation
Galatella villosa,Askaniia_Nova_135,2,Askaniia_Nova_135_014,HumanObservation
Galium ruthenicum,Askaniia_Nova_135,r,Askaniia_Nova_135_015,HumanObservation
Hylotelephium stepposum,Askaniia_Nova_135,r,Askaniia_Nova_135_016,HumanObservation
Koeleria cristata,Askaniia_Nova_135,r,Askaniia_Nova_135_017,HumanObservation
Leymus ramosus,Askaniia_Nova_135,r,Askaniia_Nova_135_018,HumanObservation
Limonium sareptanum,Askaniia_Nova_135,r,Askaniia_Nova_135_019,HumanObservation
Linaria biebersteinii,Askaniia_Nova_135,+,Askaniia_Nova_135_020,HumanObservation
Phlomis pungens,Askaniia_Nova_135,r,Askaniia_Nova_135_021,HumanObservation
Salsola tragus,Askaniia_Nova_135,r,Askaniia_Nova_135_022,HumanObservation
Sisymbrium altissimum,Askaniia_Nova_135,2,Askaniia_Nova_135_023,HumanObservation
Sisymbrium polymorphum,Askaniia_Nova_135,r,Askaniia_Nova_135_024,HumanObservation
Stipa ucrainica,Askaniia_Nova_135,2,Askaniia_Nova_135_025,HumanObservation
Trifolium arvense,Askaniia_Nova_135,r,Askaniia_Nova_135_026,HumanObservation
Veronica arvensis,Askaniia_Nova_135,r,Askaniia_Nova_135_027,HumanObservation
Agropyron pectinatum,Askaniia_Nova_136,r,Askaniia_Nova_136_001,HumanObservation
Allium paczoskianum,Askaniia_Nova_136,r,Askaniia_Nova_136_002,HumanObservation
Arabidopsis thaliana,Askaniia_Nova_136,+,Askaniia_Nova_136_003,HumanObservation
Artemisia austriaca,Askaniia_Nova_136,r,Askaniia_Nova_136_004,HumanObservation
Atriplex oblongifolia,Askaniia_Nova_136,r,Askaniia_Nova_136_005,HumanObservation
Carduus uncinatus,Askaniia_Nova_136,1,Askaniia_Nova_136_006,HumanObservation
Carex praecox,Askaniia_Nova_136,r,Askaniia_Nova_136_007,HumanObservation
Consolida paniculata,Askaniia_Nova_136,r,Askaniia_Nova_136_008,HumanObservation
Crepis ramosissima,Askaniia_Nova_136,r,Askaniia_Nova_136_009,HumanObservation
Dianthus pallens,Askaniia_Nova_136,r,Askaniia_Nova_136_010,HumanObservation
Elytrigia repens,Askaniia_Nova_136,r,Askaniia_Nova_136_011,HumanObservation
Euphorbia seguierana,Askaniia_Nova_136,r,Askaniia_Nova_136_012,HumanObservation
Falcaria vulgaris,Askaniia_Nova_136,r,Askaniia_Nova_136_013,HumanObservation
Galium ruthenicum,Askaniia_Nova_136,r,Askaniia_Nova_136_014,HumanObservation
Goniolimon tataricum,Askaniia_Nova_136,r,Askaniia_Nova_136_015,HumanObservation
Holosteum umbellatum,Askaniia_Nova_136,r,Askaniia_Nova_136_016,HumanObservation
Koeleria cristata,Askaniia_Nova_136,r,Askaniia_Nova_136_017,HumanObservation
Limonium sareptanum,Askaniia_Nova_136,r,Askaniia_Nova_136_018,HumanObservation
Linaria biebersteinii,Askaniia_Nova_136,r,Askaniia_Nova_136_019,HumanObservation
Linum austriacum,Askaniia_Nova_136,r,Askaniia_Nova_136_020,HumanObservation
Myosotis micrantha,Askaniia_Nova_136,r,Askaniia_Nova_136_021,HumanObservation
Phlomis pungens,Askaniia_Nova_136,r,Askaniia_Nova_136_022,HumanObservation
Poa angustifolia,Askaniia_Nova_136,r,Askaniia_Nova_136_023,HumanObservation
Sisymbrium altissimum,Askaniia_Nova_136,2,Askaniia_Nova_136_024,HumanObservation
Sisymbrium polymorphum,Askaniia_Nova_136,+,Askaniia_Nova_136_025,HumanObservation
Stipa ucrainica,Askaniia_Nova_136,r,Askaniia_Nova_136_026,HumanObservation
Trifolium arvense,Askaniia_Nova_136,+,Askaniia_Nova_136_027,HumanObservation
Veronica arvensis,Askaniia_Nova_136,r,Askaniia_Nova_136_028,HumanObservation
Agropyron pectinatum,Askaniia_Nova_137,r,Askaniia_Nova_137_001,HumanObservation
Allium paczoskianum,Askaniia_Nova_137,r,Askaniia_Nova_137_002,HumanObservation
Androsace elongata,Askaniia_Nova_137,r,Askaniia_Nova_137_003,HumanObservation
Arabidopsis thaliana,Askaniia_Nova_137,r,Askaniia_Nova_137_004,HumanObservation
Artemisia austriaca,Askaniia_Nova_137,r,Askaniia_Nova_137_005,HumanObservation
Atriplex oblongifolia,Askaniia_Nova_137,r,Askaniia_Nova_137_006,HumanObservation
Buglossoides arvensis,Askaniia_Nova_137,r,Askaniia_Nova_137_007,HumanObservation
Carduus uncinatus,Askaniia_Nova_137,r,Askaniia_Nova_137_008,HumanObservation
Carex praecox,Askaniia_Nova_137,r,Askaniia_Nova_137_009,HumanObservation
Eryngium campestre,Askaniia_Nova_137,r,Askaniia_Nova_137_010,HumanObservation
Euphorbia seguierana,Askaniia_Nova_137,r,Askaniia_Nova_137_011,HumanObservation
Falcaria vulgaris,Askaniia_Nova_137,r,Askaniia_Nova_137_012,HumanObservation
Festuca valesiaca,Askaniia_Nova_137,r,Askaniia_Nova_137_013,HumanObservation
Galatella villosa,Askaniia_Nova_137,1,Askaniia_Nova_137_014,HumanObservation
Galium ruthenicum,Askaniia_Nova_137,r,Askaniia_Nova_137_015,HumanObservation
Goniolimon tataricum,Askaniia_Nova_137,r,Askaniia_Nova_137_016,HumanObservation
Holosteum umbellatum,Askaniia_Nova_137,r,Askaniia_Nova_137_017,HumanObservation
Koeleria cristata,Askaniia_Nova_137,r,Askaniia_Nova_137_018,HumanObservation
Limonium sareptanum,Askaniia_Nova_137,r,Askaniia_Nova_137_019,HumanObservation
Linaria biebersteinii,Askaniia_Nova_137,r,Askaniia_Nova_137_020,HumanObservation
Linum austriacum,Askaniia_Nova_137,r,Askaniia_Nova_137_021,HumanObservation
Myosotis micrantha,Askaniia_Nova_137,r,Askaniia_Nova_137_022,HumanObservation
Phlomis pungens,Askaniia_Nova_137,r,Askaniia_Nova_137_023,HumanObservation
Serratula erucifolia,Askaniia_Nova_137,r,Askaniia_Nova_137_024,HumanObservation
Sisymbrium altissimum,Askaniia_Nova_137,2,Askaniia_Nova_137_025,HumanObservation
Sisymbrium polymorphum,Askaniia_Nova_137,2,Askaniia_Nova_137_026,HumanObservation
Stipa ucrainica,Askaniia_Nova_137,+,Askaniia_Nova_137_027,HumanObservation
Trifolium arvense,Askaniia_Nova_137,r,Askaniia_Nova_137_028,HumanObservation
Valerianella costata,Askaniia_Nova_137,r,Askaniia_Nova_137_029,HumanObservation
Veronica arvensis,Askaniia_Nova_137,r,Askaniia_Nova_137_030,HumanObservation
Agropyron pectinatum,Askaniia_Nova_138,r,Askaniia_Nova_138_001,HumanObservation
Allium paczoskianum,Askaniia_Nova_138,r,Askaniia_Nova_138_002,HumanObservation
Arabidopsis thaliana,Askaniia_Nova_138,r,Askaniia_Nova_138_003,HumanObservation
Artemisia austriaca,Askaniia_Nova_138,r,Askaniia_Nova_138_004,HumanObservation
Buglossoides arvensis,Askaniia_Nova_138,r,Askaniia_Nova_138_005,HumanObservation
Carex praecox,Askaniia_Nova_138,r,Askaniia_Nova_138_006,HumanObservation
Crepis ramosissima,Askaniia_Nova_138,r,Askaniia_Nova_138_007,HumanObservation
Dianthus andrzejowskianus,Askaniia_Nova_138,r,Askaniia_Nova_138_008,HumanObservation
Elytrigia repens,Askaniia_Nova_138,2,Askaniia_Nova_138_009,HumanObservation
Eryngium campestre,Askaniia_Nova_138,r,Askaniia_Nova_138_010,HumanObservation
Eryngium planum,Askaniia_Nova_138,r,Askaniia_Nova_138_011,HumanObservation
Euphorbia seguierana,Askaniia_Nova_138,r,Askaniia_Nova_138_012,HumanObservation
Falcaria vulgaris,Askaniia_Nova_138,r,Askaniia_Nova_138_013,HumanObservation
Festuca valesiaca,Askaniia_Nova_138,r,Askaniia_Nova_138_014,HumanObservation
Galatella villosa,Askaniia_Nova_138,r,Askaniia_Nova_138_015,HumanObservation
Galium ruthenicum,Askaniia_Nova_138,r,Askaniia_Nova_138_016,HumanObservation
Hylotelephium stepposum,Askaniia_Nova_138,r,Askaniia_Nova_138_017,HumanObservation
Koeleria cristata,Askaniia_Nova_138,r,Askaniia_Nova_138_018,HumanObservation
Linaria biebersteinii,Askaniia_Nova_138,r,Askaniia_Nova_138_019,HumanObservation
Linum austriacum,Askaniia_Nova_138,r,Askaniia_Nova_138_020,HumanObservation
Myosotis micrantha,Askaniia_Nova_138,r,Askaniia_Nova_138_021,HumanObservation
Phlomis pungens,Askaniia_Nova_138,r,Askaniia_Nova_138_022,HumanObservation
Sisymbrium altissimum,Askaniia_Nova_138,+,Askaniia_Nova_138_023,HumanObservation
Sisymbrium polymorphum,Askaniia_Nova_138,+,Askaniia_Nova_138_024,HumanObservation
Stipa ucrainica,Askaniia_Nova_138,r,Askaniia_Nova_138_025,HumanObservation
Tragopogon major,Askaniia_Nova_138,r,Askaniia_Nova_138_026,HumanObservation
Trifolium arvense,Askaniia_Nova_138,r,Askaniia_Nova_138_027,HumanObservation
Veronica arvensis,Askaniia_Nova_138,r,Askaniia_Nova_138_028,HumanObservation
Arabidopsis thaliana,Askaniia_Nova_139,2,Askaniia_Nova_139_001,HumanObservation
Carduus uncinatus,Askaniia_Nova_139,r,Askaniia_Nova_139_002,HumanObservation
Carex praecox,Askaniia_Nova_139,r,Askaniia_Nova_139_003,HumanObservation
Crepis ramosissima,Askaniia_Nova_139,r,Askaniia_Nova_139_004,HumanObservation
Eryngium campestre,Askaniia_Nova_139,r,Askaniia_Nova_139_005,HumanObservation
Fallopia convolvulus,Askaniia_Nova_139,r,Askaniia_Nova_139_006,HumanObservation
